player,2019_20_salary,2020_21_salary,2021_22_salary,2022_23_salary
Steven Adams,25842697.00,27528088.00,0.00,0.00
Marc Gasol,25595700.00,0.00,0.00,0.00
Nicolas Batum,25565217.00,27130434.00,0.00,0.00
Chandler Parsons,25102512.00,0.00,0.00,0.00
Rudy Gobert,24258427.00,25775281.00,0.00,0.00
Harrison Barnes,24147727.00,22215909.00,20284091.00,18352273.00
Serge Ibaka,23271604.00,0.00,0.00,0.00
Danilo Gallinari,22615559.00,0.00,0.00,0.00
Victor Oladipo,21000000.00,21000000.00,0.00,0.00
Tim Hardaway Jr,20025127.00,18975000.00,0.00,0.00
Malcolm Brogdon,20000000.00,20700000.00,21700000.00,22600000.00
Terry Rozier,19894737.00,18900000.00,17905263.00,0.00
Aaron Gordon,19863636.00,18136364.00,16409091.00,0.00
Zach LaVine,19500000.00,19500000.00,19500000.00,0.00
Kent Bazemore,19269663.00,0.00,0.00,0.00
Tyler Johnson,19245370.00,0.00,0.00,0.00
Goran Dragic,19217900.00,0.00,0.00,0.00
Jeff Teague,19000000.00,0.00,0.00,0.00
Evan Turner,18606556.00,0.00,0.00,0.00
Draymond Green,18539130.00,22246956.00,24026712.00,25806468.00
Tristan Thompson,18539130.00,0.00,0.00,0.00
Allen Crabbe,18500000.00,0.00,0.00,0.00
Reggie Jackson,18086956.00,0.00,0.00,0.00
Julius Randle,18000000.00,18900000.00,19800000.00,0.00
Myles Turner,18000000.00,18000000.00,18000000.00,18000000.00
Gary Harris,17839286.00,19160714.00,20482143.00,0.00
Derrick Favors,17650000.00,0.00,0.00,0.00
Andre Iguodala,17185185.00,0.00,0.00,0.00
Bojan Bogdanovic,17000000.00,17850000.00,18700000.00,19550000.00
Evan Fournier,17000000.00,17150000.00,0.00,0.00
Bismack Biyombo,17000000.00,0.00,0.00,0.00
Clint Capela,16896552.00,18000000.00,19103448.00,20206896.00
Gorgui Dieng,16229213.00,17287640.00,0.00,0.00
Ricky Rubio,16200000.00,17000000.00,17800000.00,0.00
Jonas Valanciunas,16000000.00,15000000.00,14000000.00,0.00
Brandon Knight,15643750.00,0.00,0.00,0.00
Eric Bledsoe,15625000.00,16875000.00,18125000.00,19375000.00
